Feature,CSM5MCX3,HSM7J4HS,PSM7J1AU,HSM6XRTM,MSM6J2LL,MSM6J2Q3,CSM67UBH,ESM5MEBG
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Orbales;f_Orbaceae;g_Gilliamella;s_Unclassified Gilliamella,0,0,0,0,0,0,28,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Unclassified Eubacterium,35736,101866,5308,49012,370,2035,1752,1216
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Hungateiclostridiaceae;g_Ruminiclostridium;s_Unclassified Ruminiclostridium,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnospiraceae bacterium 2_1_58FAA (no genus in NCBI);s_Lachnospiraceae bacterium 2_1_58FAA,0,0,0,0,98,20,0,2
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium butyricum,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Macrococcus;s_Unclassified Macrococcus,0,0,0,0,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Adlercreutzia;s_Adlercreutzia muris,0,0,0,0,17,0,0,0
k_Bacteria;p_Cyanobacteria;c_Synechococcales (no class in NCBI);o_Synechococcales;f_Pseudanabaenaceae;g_Limnothrix;s_Unclassified Limnothrix,10,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Christensenellaceae;g_Christensenellaceae bacterium (no genus in NCBI);s_Christensenellaceae bacterium,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. OF03-15BH,6,0,0,18,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. KLE 1755,0,0,0,0,0,60,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes indistinctus,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Cupriavidus;s_Unclassified Cupriavidus,63,0,0,0,0,0,0,0
k_Viruses;p_Pisuviricota;c_Stelpaviricetes;o_Stellavirales;f_Astroviridae;g_Unclassified Astroviridae;s_Unclassified Astroviridae,0,0,0,0,0,102,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lawsonibacter (no family in NCBI);g_Lawsonibacter;s_Lawsonibacter sp. NSJ-51,0,0,0,0,0,0,0,0
k_Bacteria;p_candidate division NC10;c_Unclassified candidate division NC10;o_Unclassified candidate division NC10;f_Unclassified candidate division NC10;g_Unclassified candidate division NC10;s_Unclassified candidate division NC10,0,0,0,0,0,0,0,0
k_Eukaryota;p_Chordata;c_Passeriformes (no class in NCBI);o_Passeriformes;f_Unclassified Passeriformes;g_Unclassified Passeriformes;s_Unclassified Passeriformes,0,0,0,0,175,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus sp. AF31-8BH,68,0,0,0,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces;s_Streptomyces djakartensis,0,0,0,0,0,7,0,0
k_Bacteria;p_Cyanobacteria;c_Chroococcales (no class in NCBI);o_Chroococcales;f_Microcystaceae;g_Microcystis;s_Unclassified Microcystis,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Coprobacillus;s_Coprobacillus sp. 8_1_38FAA,20,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. AT4,0,365,8,2,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella timonensis,36,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Gramella;s_Gramella jeungdoensis,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium disporicum,6,0,0,26,0,0,0,0
k_Eukaryota;p_Chordata;c_Phasianidae (no class in NCBI);o_Phasianidae (no order in NCBI);f_Phasianidae;g_Unclassified Phasianidae;s_Unclassified Phasianidae,0,0,0,0,9739,28,30,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Veillonella;s_Veillonella atypica,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Oscillospiraceae;g_Oscillibacter;s_Oscillibacter sp. PC13,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. 1_1_41A1FAA,0,0,0,0,0,0,0,46
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides sp. AM44-16,0,87,0,26,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Romboutsia;s_Romboutsia ilealis,2058,4,0,26,79,36,0,18
k_Eukaryota;p_Chordata;c_Squamata (no class in NCBI);o_Squamata;f_Lacertidae;g_Unclassified Lacertidae;s_Unclassified Lacertidae,0,0,0,0,24,6,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum lactatifermentans,0,77,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Paenibacillaceae;g_Unclassified Paenibacillaceae;s_Unclassified Paenibacillaceae,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Unclassified Comamonadaceae;s_Unclassified Comamonadaceae,0,0,0,0,0,0,75,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Erwiniaceae;g_Pantoea;s_Unclassified Pantoea,160,2238,49,8,0,0,52,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Asterales;f_Asteraceae;g_Lactuca;s_Lactuca sativa,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Unclassified Bacillaceae;s_Unclassified Bacillaceae,0,16,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Alphaproteobacteria bacterium (no order in NCBI);f_Alphaproteobacteria bacterium (no family in NCBI);g_Alphaproteobacteria bacterium (no genus in NCBI);s_Alphaproteobacteria bacterium,555,0,0,4,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Unclassified Cytophagaceae;s_Unclassified Cytophagaceae,60,4,0,0,0,28,0,0
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Desulfovibrio piger,78,0,0,0,0,0,0,2
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified Alphaproteobacteria;f_Unclassified Alphaproteobacteria;g_Unclassified Alphaproteobacteria;s_Unclassified Alphaproteobacteria,280,0,205,0,0,0,42,0
k_Eukaryota;p_Chordata;c_Anatidae (no class in NCBI);o_Anatidae (no order in NCBI);f_Anatidae;g_Unclassified Anatidae;s_Unclassified Anatidae,0,0,0,0,549,2,2,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Morganellaceae;g_Photorhabdus;s_Unclassified Photorhabdus,0,20,2,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Candidatus Heritagella (no order in NCBI);f_Candidatus Heritagella (no family in NCBI);g_Candidatus Heritagella;s_Candidatus Heritagella intestinalis,0,0,0,0,0,0,4,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Vitales;f_Vitaceae;g_Vitis;s_Unclassified Vitis,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptococcaceae;g_Desulfotomaculum;s_Desulfotomaculum sp. OF05-3,6,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pasteurellales;f_Pasteurellaceae;g_Haemophilus;s_Haemophilus influenzae,2,0,0,16,0,0,0,0
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Turicibacter;s_Unclassified Turicibacter,747,38,0,1045,0,64,0,0
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Coprobacillus;s_Coprobacillus sp. AM32-11LB,0,0,0,8,0,0,0,0
k_Eukaryota;p_Chordata;c_Passeriformes (no class in NCBI);o_Passeriformes;f_Thraupidae;g_Camarhynchus;s_Camarhynchus parvulus,0,0,0,0,213,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Agathobaculum;s_Unclassified Agathobaculum,4,124,26,26,0,0,14,0
k_Bacteria;p_Fusobacteria;c_Fusobacteriia;o_Fusobacteriales;f_Leptotrichiaceae;g_Leptotrichia;s_Leptotrichia wadei,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Mediterranea;s_Mediterranea massiliensis,16,0,12,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. An51A,0,0,0,16,0,12,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes sp. HGB5,0,38,0,0,0,159,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Fabales;f_Fabaceae;g_Phaseolus;s_Phaseolus vulgaris,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Dorea;s_Unclassified Dorea,4212,19348,93,2101,82,88,350,98
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. WCA-389-WT-23D1,0,32,0,0,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Coriobacteriales;f_Coriobacteriaceae;g_Unclassified Coriobacteriaceae;s_Unclassified Coriobacteriaceae,25,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Faecalibacterium;s_Faecalibacterium sp. OF04-11AC,2,0,0,29,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Nocardioidaceae;g_Nocardioides;s_Unclassified Nocardioides,0,0,0,0,0,0,16,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcaceae bacterium D16 (no genus in NCBI);s_Ruminococcaceae bacterium D16,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Candidatus Neoanaerotignum (no order in NCBI);f_Candidatus Neoanaerotignum (no family in NCBI);g_Candidatus Neoanaerotignum;s_Candidatus Neoanaerotignum tabaqchaliae,0,0,0,8,0,0,0,0
k_Bacteria;p_Deinococcus-Thermus;c_Deinococci;o_Thermales;f_Thermaceae;g_Thermus;s_Unclassified Thermus,8,0,0,2,0,0,0,0
