	rab.all	rab.win.female	rab.win.male	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Unclassified Eubacterium	8.12166456867021	6.38520944812402	9.15759060216017	3.0877343624971	1.13903901745952	2.71082405006977	0.171206956551667	0.0709066191290555	0.418003153116483	0.2099609375	0.596603058867235
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. AT4	-5.19051449293264	-5.7021409098821	-2.53750671596219	3.95131513550719	6.01572385214067	0.656831203131296	0.332031490751508	0.471550173629682	0.754553220836376	0.5732421875	0.821225227187972
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Romboutsia;s_Romboutsia ilealis	-0.867889738490836	0.150247073784733	-2.33121539872964	-2.55854855870787	7.00816930664055	-0.365080871588467	0.250000423850461	0.67461946569233	0.886838635855176	0.71875	0.908206207633156
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Erwiniaceae;g_Pantoea;s_Unclassified Pantoea	-0.108471972765007	-4.81941632489172	1.38640743063175	6.33298165772398	7.18757778125099	0.881100956464603	0.272373903130409	0.231808537382542	0.601303393865661	0.34765625	0.699738690067027
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Alphaproteobacteria bacterium (no order in NCBI);f_Alphaproteobacteria bacterium (no family in NCBI);g_Alphaproteobacteria bacterium (no genus in NCBI);s_Alphaproteobacteria bacterium	-5.24956225764369	-6.03154691177876	-4.79789718914417	2.65966910767282	5.34805273626431	0.497315422796417	0.351562706989741	0.500769921666134	0.762712031076715	0.603515625	0.829935759563897
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified Alphaproteobacteria;f_Unclassified Alphaproteobacteria;g_Unclassified Alphaproteobacteria;s_Unclassified Alphaproteobacteria	-4.97452877508547	-5.156772456525	-1.40504054194292	-1.53802036530533	4.6712130975594	-0.329255020737314	0.363281437894222	0.738299723108586	0.906095933749232	0.8359375	0.953108972576116
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Turicibacter;s_Unclassified Turicibacter	-0.84534145236853	-3.9995817838134	1.21764618972678	5.6707920451367	6.2747558724831	0.903747039786044	0.253906662959858	0.408354746213279	0.728795255266923	0.48828125	0.782613936825893
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Dorea;s_Unclassified Dorea	4.28648618079495	3.19862324600701	4.70790428472799	1.97892329286688	1.53738772500492	1.28719857761356	0.250000423850461	0.175177751623354	0.564186241777178	0.25	0.630126445162721
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_Roseburia sp.	3.05124527350553	2.42455381083312	5.13033042735868	3.10391450399121	5.37515543193091	0.577455767242101	0.445312570380321	0.307550607086636	0.661324902831017	0.5703125	0.846568373589186
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Butyricicoccus;s_Unclassified Butyricicoccus	3.11523361971987	3.11523361971987	3.56070010375369	1.96617333029906	2.58516228694118	0.760560890212226	0.250000423850461	0.423521222140323	0.751051065848495	0.400390625	0.742076195977232
